date,business_name,amount_of_deal,amount_paid,category
2023-01-02,Garcia LLC,29.74,29.74,Groceries
2023-01-03,Zara,122.28,122.28,Clothing
2023-01-04,Delta Airlines,116.35,116.35,Travel
2023-01-08,Vazquez-Hendricks,30.9,15.45,Dining
2023-01-10,Adidas,132.06,132.06,Clothing
2023-01-18,Walgreens,82.88,82.88,Health
2023-01-24,H&M,72.75,72.75,Clothing
2023-01-25,IKEA,281.69,281.69,Home
2023-01-28,Delta Airlines,106.08,106.08,Travel
2023-01-31,McDonald's,46.32,46.32,Dining
2023-02-01,Starbucks,34.24,34.24,Dining
2023-02-03,Adidas,42.45,42.45,Clothing
2023-02-04,"Watson, Parsons and Austin",104.76,104.76,Groceries
2023-02-05,Austin LLC,874.53,874.53,Electronics
2023-02-10,Zara,165.37,165.37,Clothing
2023-02-12,Walmart,118.22,118.22,Groceries
2023-02-15,"Foster, Taylor and Weber",78.7,78.7,Groceries
2023-02-25,Walgreens,79.55,79.55,Health
2023-02-27,"Ramos, Calderon and Thomas",79.49,79.49,Health
2023-03-02,Nike,157.26,157.26,Clothing
2023-03-04,Uber,239.13,239.13,Travel
2023-03-06,McDonald's,29.34,29.34,Dining
2023-03-09,Frost-Campbell,492.35,492.35,Travel
2023-03-10,Cooper Inc,248.6,248.6,Home
2023-03-11,Apple,545.39,545.39,Electronics
2023-03-15,IKEA,293.9,293.9,Home
2023-03-17,Zara,90.36,30.12,Clothing
2023-03-18,Walmart,44.65,44.65,Groceries
2023-03-19,Delta Airlines,188.64,188.64,Travel
2023-03-20,Caldwell-Rodriguez,64.08,64.08,Clothing
2023-03-24,Foley-Powers,34.58,34.58,Dining
2023-03-28,Nike,184.27,184.27,Clothing
2023-03-29,"Mclean, Martinez and Robinson",102.32,102.32,Groceries
2023-03-30,Walgreens,22.73,22.73,Health
2023-03-31,Starbucks,22.8,11.4,Dining
